Temperature (K),Pression (Pa),Altitude above local surface (m),Monthly mean surface H2O layer (kg/m2),Monthly mean surface CO2 ice layer (kg/m2),Water vapor column (kg/m2),Water ice column (kg/m2),Water ice mixing ratio (mol/mol),Water ice effective radius (m),GCM perennial surface water ice (0 or 1),H column (kg/m2),H2 column (kg/m2),Electron number density (m-3),Total electronic content
141.112,294.784,10.0,3.23983,2628.9,1.01037e-06,2.25093e-05,6.06388e-06,5.18135e-06,0.0,2.41153e-08,0.000208248,1.1137,14094500000.0
141.673,337.175,10.0,0.0215153,689.885,1.03997e-06,4.98388e-05,9.63384e-06,5.74871e-06,0.0,2.29982e-08,0.000245974,1.37352,14480100000.0
142.224,335.65,10.0,0.0311569,654.856,1.23088e-06,6.16336e-05,9.93783e-06,5.97565e-06,0.0,2.2567e-08,0.000212843,1.27275,17530000000.0
143.195,362.485,10.0,0.0613576,643.522,1.62278e-06,0.000106567,1.26062e-05,5.53324e-06,0.0,2.19131e-08,0.000203971,1.3365,25372800000.0
144.388,401.192,10.0,0.0863893,639.358,2.36696e-06,0.000180468,1.69881e-05,5.31684e-06,0.0,2.11619e-08,0.000199828,1.34955,40157200000.0
146.085,442.135,10.0,0.0581012,588.09,3.95929e-06,0.000283161,2.11097e-05,5.67471e-06,0.0,1.99317e-08,0.000197304,1.17982,60405700000.0
146.917,389.667,10.0,0.0272694,512.187,7.57077e-06,0.000295496,2.20545e-05,6.15645e-06,0.0,1.80688e-08,0.000157423,0.750896,78520500000.0
147.251,401.818,10.0,0.0310669,397.167,1.83107e-05,0.000379194,2.11591e-05,6.63504e-06,0.0,1.54271e-08,0.0001533,0.607422,90264700000.0
147.583,403.3,10.0,0.0316901,266.799,4.42489e-05,0.000463865,1.96154e-05,7.43049e-06,0.0,1.24722e-08,0.000145218,0.449791,94674700000.0
150.498,473.317,10.0,0.0407776,155.467,0.000143656,0.000690357,2.26386e-05,8.62202e-06,0.0,9.95337e-09,0.000165806,0.359377,90141600000.0
162.914,419.531,10.0,0.0384641,22.3256,0.000366843,0.0006052,3.44097e-05,1.02175e-05,0.0,8.30438e-09,0.000140737,0.456606,76026000000.0
180.739,414.568,10.0,0.0165983,0.0,0.000836008,0.000637087,4.007e-05,1.20043e-05,0.0,7.35759e-09,0.000136265,0.811792,59098700000.0
188.154,460.574,10.0,0.0176964,0.0,0.00186167,0.000954479,7.0443e-05,1.45284e-05,0.0,6.86101e-09,0.00015011,0.882376,44201300000.0
